what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1320716983585
started,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1320716983601
started,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1320716983632
started,bundle,org.eclipse.wst.wsdl.validation,1.1.401.v200902271605,"org.eclipse.wst.wsdl.validation",1320716983710
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1320716983725
started,bundle,org.eclipse.wst.xsl.core,1.0.1.v200908101420,"org.eclipse.wst.xsl.core",1320716983725
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320716994521
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717069447
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717069697
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717069713
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717071039
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717076265
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717096747
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1320717096763
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1320717103237
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1320717103237
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.closeProject",1320717103253
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717110304
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717158283
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1320717158314
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1320717158314
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717169531
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717170903
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1320717170903
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717173477
