what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1320790296932
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1320790296932
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1320790296932
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1320790296932
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1320790296932
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1320790296932
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1320790296932
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1320790296932
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1320790296932
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1320790296948
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1320790296948
os,sysinfo,,,"win32",1320790296948
arch,sysinfo,,,"x86",1320790296948
ws,sysinfo,,,"win32",1320790296948
locale,sysinfo,,,"en_US",1320790296948
processors,sysinfo,,,"2",1320790296948
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1320790296948
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1320790296948
java.specification.name,sysinfo,,,"Java Platform API Specification",1320790296948
java.specification.vendor,sysinfo,,,"Oracle Corporation",1320790296948
java.specification.version,sysinfo,,,"1.7",1320790296948
java.vendor,sysinfo,,,"Oracle Corporation",1320790296948
java.version,sysinfo,,,"1.7.0_01",1320790296948
java.vm.info,sysinfo,,,"mixed mode, sharing",1320790296948
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1320790296948
