what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1320683328755
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1320683334305
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320683335044
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320683529331
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1320683533783
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1320683538993
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1320683571688
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1320683572524
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1320683573002
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320683609527
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320683611023
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1320683611180
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1320683611210
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.window.nextView",1320683611210
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1320683618197
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1320683631307
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1320683634267
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320683673367
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1320683673416
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320683702883
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320683744457
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320683841514
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1320683843213
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1320683844449
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320683846050
