what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1320717236501
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717238904
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717260925
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717263624
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717290833
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717294998
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717335511
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717337305
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717400626
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1320717400641
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717404354
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717463476
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1320717463491
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717468546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717534764
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717535763
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717537416
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1320717539335
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717552299
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320717556480
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1320717556511
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1320717557868
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320717558367
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320717558476
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1320717558570
