what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.launchShortcut.run",1320800329318
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1320800332189
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1320800332220
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320800338338
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320800340038
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320800342877
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320800344359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320800366051
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320800370687
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1320800379844
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1320800387753
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1320800391918
activated,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1320800392075
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1320800394493
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320800394883
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320800394930
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1320800425600
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320800447861
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320800457907
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320800464366
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320800471136
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320800542272
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320800543785
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1320800549635
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1320800552631
